code,市場,銘柄名,現在値
3109,東証1部,シキボウ,924
3110,東証1部,日東紡,3485
3111,東証2部,オーミケンシ,406
3113,東証2部,Ｏａｋ　キャピタル,101
3116,東証1部,トヨタ紡織,2057
3121,東証2部,マーチャント・バンカーズ,305
3123,東証2部,サイボー,471
3125,東証2部,新内外綿,584
3131,東証JQS,シンデン・ハイテックス,1770
3132,東証1部,マクニカ・富士エレホールディングス,2359
3133,マザーズ,海帆,519
3134,東証1部,Ｈａｍｅｅ,1546
3135,東証1部,マーケットエンタープライズ,1161
3136,札幌ア,エコノス,523
3137,マザーズ,ファンデリー,644
3138,マザーズ,富士山マガジンサービス,816
3139,東証1部,ラクト・ジャパン,2850
3140,東証JQG,イデアインターナショナル,1038
3141,東証1部,ウエルシアホールディングス,3405
3143,東証2部,オーウイル,1022
3148,東証1部,クリエイトＳＤホールディングス,3325
3150,東証1部,グリムス,1866
3151,東証1部,バイタルケーエスケー・ホールディングス,679
3153,東証1部,八洲電機,968
3154,東証1部,メディアスホールディングス,959
3156,東証1部,レスターホールディングス,1869
3157,東証1部,ジューテックホールディングス,1043
3159,東証1部,丸善ＣＨＩホールディングス,394
3160,東証1部,大光,700
3161,東証2部,アゼアス,914
3166,東証1部,ＯＣＨＩホールディングス,1267
3167,東証1部,ＴＯＫＡＩホールディングス,900
3168,東証1部,黒谷,934
3169,東証1部,ミサワ,690
3172,東証1部,ティーライフ,1429
3173,東証1部,Ｃｏｍｉｎｉｘ,725
3174,東証JQS,ハピネス・アンド・ディ,952
3175,東証1部,エー・ピーホールディングス,449
3176,東証1部,三洋貿易,1264
3177,東証JQS,ありがとうサービス,1878
3178,東証1部,チムニー,1341
3179,東証1部,シュッピン,974
3180,東証1部,ビューティガレージ,3765
3181,東証JQS,買取王国,632
3182,東証1部,オイシックス・ラ・大地,3360
3183,東証1部,ウイン・パートナーズ,1006
3184,東証2部,ＩＣＤＡホールディングス,2399
3185,マザーズ,夢展望,211
3186,東証1部,ネクステージ,1696
3187,マザーズ,サンワカンパニー,324
3189,東証JQS,ＡＮＡＰ,340
3190,東証JQS,ホットマン,523
3191,東証1部,ジョイフル本田,1343
3192,東証JQS,白鳩,267
3193,東証1部,鳥貴族ホールディングス,1761
3195,マザーズ,ジェネレーションパス,541
3196,東証1部,ホットランド,1372
3197,東証1部,すかいらーくホールディングス,1602
3198,東証1部,ＳＦＰホールディングス,1316
3199,東証1部,綿半ホールディングス,1260
3201,東証1部,ニッケ,992
3202,東証1部,ダイトウボウ,105
3204,東証1部,トーア紡コーポレーション,461
3205,東証1部,ダイドーリミテッド,175
3221,東証1部,ヨシックス,2045
3222,東証1部,ユナイテッド・スーパーマーケット・ホールディングス,1106
3223,東証JQS,エスエルディー,640
3224,マザーズ,ゼネラル・オイスター,940
3228,東証1部,三栄建築設計,2031
3231,東証1部,野村不動産ホールディングス,2878
3232,東証1部,三重交通グループホールディングス,480
3236,東証JQS,プロパスト,165
3237,マザーズ,イントランス,77
3238,東証2部,セントラル総合開発,344
3241,東証2部,ウィル,358
3242,東証JQS,アーバネットコーポレーション,321
3244,東証1部,サムティ,2034
3245,東証1部,ディア・ライフ,476
3246,東証1部,コーセーアールイー,634
3248,東証2部,アールエイジ,642
3252,東証1部,日本商業開発,1833
3254,東証1部,プレサンスコーポレーション,1764
3260,名古屋セ,エスポア,575
3261,マザーズ,グランディーズ,389
3264,東証JQS,アスコット,226
3266,東証JQS,ファンドクリエーショングループ,97
3267,東証1部,フィル・カンパニー,2679
3271,東証1部,ＴＨＥグローバル社,246
3275,東証1部,ハウスコム,1165
3276,東証1部,日本管理センター,1264
3277,東証1部,サンセイランディック,875
3280,東証1部,エストラスト,687
