code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
2613,82686,7848,,,55372,15146,16849,34605,27428
2651,690811,402584,,,367640,27624,220571,767754,324743
2652,9790037,1001490,,,5610098,581,848537,4896666,3804611
2653,50402,10511,,,91470,275,26020,90431,37988
2654,7651271,4778576,,,261323,1274,1122601,2382048,379427
2656,1094328,862084,,,7299,100000,115485,282102,36451
2664,82796,41235,,,93924,76,12460,65037,28205
2667,1626242,747695,,,337418,,290181,314340,62825
2668,4070595,2514128,,,1986722,,1223294,1973884,1724038
2670,225222,138669,,,37748,17161,49795,37145,1743
2673,1056750,8683,,,7894,2200,2186305,835398,292116
2678,149570,73258,,,24386,433,10732,105431,32670
2683,1815669,940930,,,202617,75317,471122,1506026,393512
2685,51569,24179,,,14577,260,22010,41055,3692
2689,33724165,3706232,,4579087,,,,30598238,2415482
2692,167427,1113,,,17683,32887,45466,126501,11346
2693,9350912,5233890,,,2167548,308059,2217012,3618745,3706442
2694,5113383,3533174,,,8029166,75733,3485446,5048568,5813378
2695,23962,16991,,,48456,,11073,20613,16497
2698,15425,5145,,,6573,,7315,12697,4514
2700,19499295,2899870,,,4667887,3014191,3400050,14520086,2899647
2702,82932,55463,,,92061,56,40904,41977,7337
2705,5641284,3669061,,,1283214,36214,2071045,5423932,2209226
2706,8253902,6621667,,,1875439,5464,399703,1132946,95199
2708,11873,4381,,,2454,1546,3140,11552,2895
2715,95333,27877,,,3190,587,2398,45619,1284
2722,6910470,1098735,,,374453,,497450,3178748,1104309
2726,81966,63088,,,7677,1728,17992,52181,11652
2729,40788286,8466348,,,4472842,2714608,6421592,23159370,4431143
2730,192549,43072,,,125864,2741,55960,103798,88571
2734,87240,20565,,,83666,7979,21123,68828,61547
2736,6167076,1214411,,,449995,81833,1227176,3993350,2900106
2742,27866,21568,,,51795,2,10794,27779,18849
2747,4991418,2057253,,,10707359,190798,2365755,9894695,3210802
2749,15139399,11020922,,,6701231,382394,7685546,7829755,11903079
2750,19965101,4826928,,,5825196,734976,1186894,10690427,4243733
2751,12635,7671,,,1353,120,2105,4229,746
2752,5016,2041,,,10397,553,7082,13007,7711
2753,11871,8870,,,7737,5,4217,4015,932
2754,3227506,1706287,,,3350953,,183178,1847303,318071
2761,29190993,21368241,,,10542082,,,4080417,2266951
2762,1159,756,,,,,1196,916,930
2763,27336,,,1364,,,,17934,
2764,4343213,1556682,,,14857951,,1716568,5100984,11436462
2767,39147,24610,,,4272,1803,6322,10895,11031
2769,24325,7065,,,1539,,1547,11237,9330
2773,12025273,6396930,,,1082043,1665813,2301386,4408289,253509
2776,1026859,126587,,,235008,5846,18963,741604,35578
2777,7474624,3105077,,,1254876,,903885,3364588,1561225
2778,5070942,2135678,,,1319555,5100,3485671,5514680,2669769
2780,27286125,10538865,,,6051073,,2410182,13324519,5631187
2784,992480,170277,,,158943,127657,147797,783929,42771
2788,12504442,2621339,,994225,,616338,1334428,5966704,2284643
2789,1325451,911608,,,3562248,283,711302,1531676,2330355
2790,102419,40984,,,119942,293,10597,71131,12210
2791,17105,6100,,,40332,,12303,23349,6198
