code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
2305,"18,169,855","13,641,832",,,"12,356,768","1,188,654","5,795,010","6,522,183","4,252,378"
2307,"4,273,132","1,264,359",,,"260,709","958,471","1,393,733","2,139,109","758,945"
2309,"37,951","10,591",,,"42,208","3,997","9,998","26,365","30,193"
2311,"2,284,131","1,438,950",,"520,989",,"1,375,200","2,107,497","431,625","502,431"
2315,"5,659,467","4,425,276",,"68,321",,"4,791,459","5,007,070","990,798","821,483"
2317,"33,420","19,037",,,917,"Å¶ÇP 1,891","4,240","12,746",143
2323,"671,263","531,249",,,"6,227","5,000","25,201","183,497","150,407"
2325,"23,229,837","14,659,660",,,"2,224,906","1,353,602","3,009,769","6,383,844","1,317,473"
2326,"12,725","11,382",,,233,102,493,"4,743",50
2327,"171,834","5,255",,,"19,572","65,036","75,776","60,694","25,400"
2332,"5,649,477","2,853,917",,,"51,925","1,087,730","1,514,618","1,778,892","256,639"
2334,"690,119","421,012",,,Å\,,"15,953","227,954",
2338,"878,054","792,815",,,,"107,374","133,044","34,681","303,306"
2340,"5,478,117","4,788,176",,,"10,313,976","115,375","2,322,971","7,392,427","9,791,299"
2341,"3,991,790","3,488,367",,,"578,764","41,557","180,711","553,746","15,718"
2342,"5,811,831","3,030,149",,,"2,125,116","163,077","447,865","2,164,538","1,717,371"
2344,"9,894,875","9,297,438",,,"14,524,961","Å¶1
115,579","8,714,936","1,227,204","12,879,040"
2345,"2,166,227","1,848,863",,"30,395",,"688,265","1,123,674","329,063","395,104"
2349,"14,452,591","11,131,189",,,"384,906","4,378,732","5,650,745","2,497,408","3,006,927"
2352,"1,743,566","1,183,336",,,"128,317","272,196","436,025","638,080","786,747"
2353,"15,832,940","13,556,160",,,"10,121,132","845,994","2,303,047","5,494,205","12,920,655"
2354,"8,324,767","2,648,240",,,"751,499","37,465","2,054,587","3,563,543","3,835,279"
2359,"10,103,786","3,636,219",,,"5,591,171","1,172,342","2,562,850","5,491,469","622,987"
2370,"4,324,049","4,077,998",,,"664,231","580,667","720,407","270,157","211,407"
2372,"10,764","4,068",,,"5,528","1,487","3,434","5,729","6,447"
2373,"10,005,285","3,309,609",,,"19,710,816","4,580,306","7,578,093","8,524,691","23,355,002"
2375,"7,300,340","3,752,835",,"1,247,461",,"124,659","1,108,245","4,457,156","1,716,212"
2378,"9,781,939","7,078,845",,,"18,554,241","29,379","12,646,490","12,661,210","19,102,786"
2379,"17,782,031","12,462,677",,,"1,698,070","Å¶ 5,663,928","9,557,664","3,576,588","1,114,601"
2385,"7,054,381","4,799,244",,"43,209",,"20,738","175,635","1,055,962","16,086"
2388,"27,130,461","11,323,686",,"377,539",,"2,560,136","7,268,258","22,045,295","331,404"
2391,"2,885,089","2,380,277",,,"22,499","1,089,011","2,209,252","482,353","449,558"
2397,"824,737","620,801",,,"17,359",0,"74,415","81,650","8,711"
2398,"25,309","11,450",,,"47,567",477,"7,982","14,671","41,595"
2402,"6,447,248","1,843,696",,,"1,947,677","179,450","515,730","8,086,211","2,702,975"
2404,"1,969,577","1,314,094",,,"1,663,274",,"1,525,041","1,551,091","3,643,781"
2408,"4,353,146","4,018,115",,,"1,606,988",,"131,038","464,288","314,038"
2412,"28,696","13,064",,,"1,310","2,725","3,767","15,184","1,121"
2415,"34,880,547","22,848,737",,,"Å¶ÇP 3,226,155","Å¶ÇQ 222,412","3,888,374","24,130,019","6,604,151"
2418,"23,894","19,838",,,"49,384","4,723","19,847","17,227","54,795"
2424,"1,879,527","1,594,736",,,"8,253,329",,"1,125,794","3,932,105","5,130,243"
2425,"2,404,695","969,079",,,"269,654",,"375,677","1,008,335","355,092"
2427,"154,766",,,"12,189",,,,"166,812",
2428,"13,859,015","10,441,807",,"3,588,128",,,,"12,817,731","218,477"
2429,"72,490","21,574",,"5,285",,"1,755","5,725","35,058","19,002"
2433,"626,731","179,312",,,"34,915","171,193","210,404","416,338","162,625"
2435,"3,647",825,,,"Å¶ÇP 12,992",,"2,791","6,629","11,318"
2437,"2,082,493","323,572",,,"116,851","51,420","422,890","635,180","406,502"
2438,"2,721,380","1,454,007",,,"2,488,629","533,474","771,051","492,134","6,763"
2440,"11,664,585","7,507,254",,,,"608,165","1,903,296","4,024,059","168,431"
2449,"5,053","3,403",,,62,48,490,"1,447",197
2453,"11,332,063","9,014,183",,"143,377",,"7,887,926","9,756,828","5,639,962","8,314,281"
2454,"6,031,369","2,712,475",,,"41,525","136,702","732,574","2,756,095","41,502"
2459,"683,438","464,312",,,"55,767","152,480","193,003","189,077","114,948"
2461,"23,476,347","19,162,996",,,"149,736","848,947","1,150,250","5,632,329","140,537"
2462,"13,580,007","8,675,933",,,"14,916,813","696,381","5,273,392","11,030,803","13,858,161"
2464,"2,397,138","1,893,132",,,"3,784,982","15,879","482,056","2,871,270","1,026,883"
2468,"3,155,180","2,437,123",,,"33,099","171,473","212,340","307,872","883,684"
2475,"26,043,695","19,406,689",,,"2,533,528","93,829","1,802,107","7,065,744","1,251,558"
2477,"4,460,470","4,290,583",,,"1,901",,"54,254","212,750",
2479,"1,795,069","1,363,429",,,"25,559","37,933","146,639","498,869","583,488"
2480,"2,138,938","1,987,835",,,"305,310","430,746","666,772","236,988","327,016"
2481,"1,989,085","1,594,794",,,"904,303","576,734","1,279,816","423,801","105,038"
2483,"5,515,289","3,172,634",,,"54,789","203,254","646,960","1,595,330","175,367"
2484,"27,986,455","19,854,821",,"49,261",,"187,745","312,381","9,359,830","50,947"
2485,"3,988","3,407",,,"8,320",,"1,339","2,732","1,768"
2487,"6,613,065","3,671,058",,,"258,696","264,269","699,504","1,871,467","282,429"
2488,"3,622,887","1,899,524",,,"125,830","49,500","525,810","1,069,189","617,095"
2489,"20,275,288","9,944,909",,,"148,349","Å¶ÇP 2,527,214","2,968,953","12,275,478","249,622"
2492,"8,360,068","6,312,933",,,"191,822","868,088","1,882,147","1,765,162","28,076"
2497,"46,115,671","13,774,158",,,"327,246","146,000","683,735","3,114,850","8,206,255"
2498,"51,100,235","14,406,093",,,"2,270,060","836,806","5,003,753","44,385,018","1,525,101"
2499,"7,967,063","2,205,607",,"177,014",,,,"3,708,746","1,705,320"
2501,"139,807",,,"129,347",,,,"207,211",
2502,"632,408",,,"816,552",,,,"1,313,947",
2533,"22,698",694,,,"24,434","1,470","2,715","22,704","5,394"
2540,"13,215,182","8,135,338",,,"8,080,318","20,078,305","26,437,850","1,925,513","4,379,962"
2551,"11,060,384","2,446,214",,,"13,299,238","169,330","1,483,564","11,997,754","7,568,608"
2573,"23,467","11,590",,,"22,514","1,442","2,981","7,392","1,010"
2579,"340,803",,,"454,419",,,,"179,728",
2586,"1,107,900","713,627",,,,"901,809","963,255","682,548","187,917"
2588,"28,268",,,"18,143",,,,"21,756",
2594,"26,508","5,756",,,"12,995","2,692","4,007","11,512","2,354"
2597,"6,576,259","3,203,205",,,"6,088,103","83,320","222,467","2,845,411","4,411,604"
2599,"4,450,345","883,644",,,"17,787,155","1,272,496","2,131,500","5,101,816","12,599,723"
2602,"150,918","11,036",,,"100,948","29,516","38,505","78,633","60,260"
2613,"82,686","7,848",,,"55,372","15,146","16,849","34,605","27,428"
2651,"690,811","402,584",,,"367,640","27,624","220,571","767,754","324,743"
2652,"9,790,037","1,001,490",,,"5,610,098",581,"848,537","4,896,666","3,804,611"
2653,"50,402","10,511",,,"91,470",275,"26,020","90,431","37,988"
2654,"7,651,271","4,778,576",,,"261,323","1,274","1,122,601","2,382,048","379,427"
2656,"1,094,328","862,084",,,"7,299","100,000","115,485","282,102","36,451"
2664,"82,796","41,235",,,"93,924",76,"12,460","65,037","28,205"
2667,"1,626,242","747,695",,,"337,418",,"290,181","314,340","62,825"
