code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
8074,185777,42567,,15665.0,13679.0,30896.0,138081,9163.0
8075,240123,22433,,7259.0,30206.0,37282.0,202286,26761.0
8076,46325521,6939842,,6729266.0,5735131.0,6169409.0,26966239,8233746.0
8077,13277488,2587185,,6811585.0,5489920.0,5956279.0,9286097,6341939.0
8078,630093,50907,,73806.0,72472.0,112796.0,389222,243510.0
8079,49264054,10384461,,24599560.0,3449525.0,5231623.0,28400298,8930667.0
8081,62373,10860,,8950.0,4776.0,5426.0,31415,1366.0
8084,111332,21129,,3881.0,6988.0,9591.0,50954,4655.0
8085,32325,11268,,8901.0,3489.0,5847.0,23804,5277.0
8086,421368,90274,,335906.0,47199.0,67318.0,271501,408841.0
8087,43178617,14093323,,15273747.0,3017411.0,5233267.0,21042737,1207759.0
8088,219613,38782,,178023.0,78913.0,94385.0,170981,86686.0
8089,88053,27831,,43103.0,6211.0,12050.0,68233,36479.0
8090,46108,3269,,2436.0,2621.0,3796.0,22714,15954.0
8091,45545,9928,,7565.0,10733.0,11450.0,32415,15468.0
8093,39473,9010,,2268.0,7307.0,9571.0,26366,3165.0
8095,34527759,8185409,,10051706.0,3702070.0,4986403.0,25303865,9550873.0
8096,68981078,46877658,,2061523.0,913538.0,3278303.0,16303388,2446130.0
8097,81141,36737,,51539.0,20104.0,50448.0,61055,19722.0
8101,47387,14594,,4148.0,6129.0,8572.0,35875,1350.0
8103,52632,9442,,1312.0,14842.0,15828.0,30917,4425.0
8105,3835491,2229942,,82833.0,53410.0,121921.0,729232,34714.0
8107,2605,505,,753.0,17.0,92.0,1262,1205.0
8108,82895,14388,,50512.0,10210.0,17230.0,88173,25349.0
8113,501323,,265422.0,,,,221408,
8114,65368,21913,,25289.0,9946.0,15122.0,25172,4851.0
8115,7270942,1254516,,2796091.0,285435.0,906215.0,5389007,810570.0
8117,16036,11265,,3859.0,12906.0,14870.0,4616,1232.0
8118,12761,10469,,8699.0,1425.0,2245.0,1669,1290.0
8119,17706729,6246431,,2195476.0,2702196.0,3439276.0,8637225,4067333.0
8123,7258488,908879,,2084735.0,519412.0,2969058.0,5214959,943702.0
8125,54754,21124,,67222.0,4703.0,7111.0,25210,15116.0
8129,486911,93086,,97837.0,82550.0,93321.0,376717,69058.0
8130,89469,25719,,40516.0,10502.0,18717.0,43790,21375.0
8131,55837,25480,,29468.0,44992.0,58082.0,28221,23678.0
8135,17721,5138,,2154.0,2398.0,3016.0,10795,2285.0
8136,48937,36876,,16098.0,11649.0,18712.0,29336,19235.0
8137,64430,13113,,2590.0,7995.0,9190.0,36372,4978.0
8138,9045539,1691584,,2027068.0,4155516.0,4295172.0,4955151,1011734.0
