code,市場,銘柄名,現在値
3053,東証1部,ペッパーフードサービス,297
3054,東証1部,ハイパー,549
3055,札証,ほくやく・竹山ホールディングス,729
3057,名古屋セ,ゼットン,722
3058,東証JQS,三洋堂ホールディングス,924
3059,東証2部,ヒラキ,1020
3063,マザーズ,ジェイグループホールディングス,505
3064,東証1部,ＭｏｎｏｔａＲＯ,2435
3065,東証JQS,ライフフーズ,1648
3066,名証2部,ＪＢイレブン,746
3067,東証1部,東京一番フーズ,580
3068,東証JQS,ＷＤＩ,1516
3069,東証JQS,ＪＦＬＡホールディングス,367
3070,東証JQG,アマガサ,297
3071,東証2部,ストリーム,156
3073,東証1部,ＤＤホールディングス,556
3075,東証JQS,銚子丸,1078
3076,東証1部,あい　ホールディングス,2223
3077,東証JQS,ホリイフードサービス,472
3079,東証1部,ディーブイエックス,984
3080,東証JQS,ジェーソン,550
3082,東証1部,きちりホールディングス,586
3083,東証JQS,シーズメン,364
3085,東証1部,アークランドサービスホールディングス,2200
3086,東証1部,Ｊ．フロント　リテイリング,1071
3087,東証1部,ドトール・日レスホールディングス,1627
3088,東証1部,マツモトキヨシホールディングス,4275
3089,東証JQS,テクノアルファ,1202
3091,東証1部,ブロンコビリー,2355
3092,東証1部,ＺＯＺＯ,3600
3093,東証1部,トレジャー・ファクトリー,1159
3094,東証JQS,スーパーバリュー,686
3096,東証JQS,オーシャンシステム,1074
3097,東証1部,物語コーポレーション,6580
3098,東証1部,ココカラファイン,7200
3099,東証1部,三越伊勢丹ホールディングス,797
3101,東証1部,東洋紡,1404
3103,東証1部,ユニチカ,376
3104,東証1部,富士紡ホールディングス,3815
3105,東証1部,日清紡ホールディングス,920
3106,東証1部,クラボウ,1870
3107,東証1部,ダイワボウホールディングス,1817
3109,東証1部,シキボウ,928
3110,東証1部,日東紡,3535
3111,東証2部,オーミケンシ,398
3113,東証2部,Ｏａｋ　キャピタル,94
3116,東証1部,トヨタ紡織,2045
3121,東証2部,マーチャント・バンカーズ,310
3123,東証2部,サイボー,458
3125,東証2部,新内外綿,587
3131,東証JQS,シンデン・ハイテックス,1704
3132,東証1部,マクニカ・富士エレホールディングス,2395
3133,マザーズ,海帆,491
3134,東証1部,Ｈａｍｅｅ,1507
3135,東証1部,マーケットエンタープライズ,1073
3136,札幌ア,エコノス,537
3137,マザーズ,ファンデリー,631
3138,マザーズ,富士山マガジンサービス,818
3139,東証1部,ラクト・ジャパン,2828
3140,東証JQG,イデアインターナショナル,1045
3141,東証1部,ウエルシアホールディングス,3385
3143,東証2部,オーウイル,1029
3148,東証1部,クリエイトＳＤホールディングス,3355
3150,東証1部,グリムス,1803
3151,東証1部,バイタルケーエスケー・ホールディングス,692
3153,東証1部,八洲電機,961
3154,東証1部,メディアスホールディングス,950
3156,東証1部,レスターホールディングス,1856
3157,東証1部,ジューテックホールディングス,1015
3159,東証1部,丸善ＣＨＩホールディングス,397
3160,東証1部,大光,702
3161,東証2部,アゼアス,861
3166,東証1部,ＯＣＨＩホールディングス,1270
3167,東証1部,ＴＯＫＡＩホールディングス,905
3168,東証1部,黒谷,989
3169,東証1部,ミサワ,700
3172,東証1部,ティーライフ,1358
3173,東証1部,Ｃｏｍｉｎｉｘ,725
3174,東証JQS,ハピネス・アンド・ディ,945
3175,東証1部,エー・ピーホールディングス,435
3176,東証1部,三洋貿易,1242
3177,東証JQS,ありがとうサービス,1874
3178,東証1部,チムニー,1344
3179,東証1部,シュッピン,919
3180,東証1部,ビューティガレージ,3520
3181,東証JQS,買取王国,628
3182,東証1部,オイシックス・ラ・大地,3130
3183,東証1部,ウイン・パートナーズ,1003
3184,東証2部,ＩＣＤＡホールディングス,2370
3185,マザーズ,夢展望,208
3186,東証1部,ネクステージ,1662
3187,マザーズ,サンワカンパニー,328
3189,東証JQS,ＡＮＡＰ,340
3190,東証JQS,ホットマン,522
3191,東証1部,ジョイフル本田,1357
3192,東証JQS,白鳩,267
3193,東証1部,鳥貴族ホールディングス,1720
3195,マザーズ,ジェネレーションパス,536
3196,東証1部,ホットランド,1368
3197,東証1部,すかいらーくホールディングス,1659
3198,東証1部,ＳＦＰホールディングス,1296
3199,東証1部,綿半ホールディングス,1269
3201,東証1部,ニッケ,989
3202,東証1部,ダイトウボウ,105
3204,東証1部,トーア紡コーポレーション,464
3205,東証1部,ダイドーリミテッド,176
3221,東証1部,ヨシックス,1970
3222,東証1部,ユナイテッド・スーパーマーケット・ホールディングス,1119
3223,東証JQS,エスエルディー,642
3224,マザーズ,ゼネラル・オイスター,925
3228,東証1部,三栄建築設計,1961
3231,東証1部,野村不動産ホールディングス,2860
3232,東証1部,三重交通グループホールディングス,490
3236,東証JQS,プロパスト,162
