code,市場,銘柄名,現在値
3053,東証1部,ペッパーフードサービス,283
3054,東証1部,ハイパー,536
3055,札証,ほくやく・竹山ホールディングス,729
3057,名古屋セ,ゼットン,726
3058,東証JQS,三洋堂ホールディングス,920
3059,東証2部,ヒラキ,1026
3063,マザーズ,ジェイグループホールディングス,500
3064,東証1部,ＭｏｎｏｔａＲＯ,2389
3065,東証JQS,ライフフーズ,1660
3066,名証2部,ＪＢイレブン,747
3067,東証1部,東京一番フーズ,576
3068,東証JQS,ＷＤＩ,1518
3069,東証JQS,ＪＦＬＡホールディングス,363
3070,東証JQG,アマガサ,295
3071,東証2部,ストリーム,152
3073,東証1部,ＤＤホールディングス,522
3075,東証JQS,銚子丸,1082
3076,東証1部,あい　ホールディングス,2193
3077,東証JQS,ホリイフードサービス,479
3079,東証1部,ディーブイエックス,978
3080,東証JQS,ジェーソン,536
3082,東証1部,きちりホールディングス,577
3083,東証JQS,シーズメン,364
3085,東証1部,アークランドサービスホールディングス,2177
3086,東証1部,Ｊ．フロント　リテイリング,1038
3087,東証1部,ドトール・日レスホールディングス,1602
3088,東証1部,マツモトキヨシホールディングス,4250
3089,東証JQS,テクノアルファ,1186
3091,東証1部,ブロンコビリー,2355
3092,東証1部,ＺＯＺＯ,3470
3093,東証1部,トレジャー・ファクトリー,1129
3094,東証JQS,スーパーバリュー,682
3096,東証JQS,オーシャンシステム,1071
3097,東証1部,物語コーポレーション,6390
3098,東証1部,ココカラファイン,7200
3099,東証1部,三越伊勢丹ホールディングス,769
3101,東証1部,東洋紡,1388
3103,東証1部,ユニチカ,372
3104,東証1部,富士紡ホールディングス,3870
3105,東証1部,日清紡ホールディングス,896
3106,東証1部,クラボウ,1845
3107,東証1部,ダイワボウホールディングス,1760
3109,東証1部,シキボウ,933
3110,東証1部,日東紡,3575
3111,東証2部,オーミケンシ,396
3113,東証2部,Ｏａｋ　キャピタル,89
3116,東証1部,トヨタ紡織,2021
3121,東証2部,マーチャント・バンカーズ,303
3123,東証2部,サイボー,458
3125,東証2部,新内外綿,592
3131,東証JQS,シンデン・ハイテックス,1633
3132,東証1部,マクニカ・富士エレホールディングス,2418
3133,マザーズ,海帆,466
3134,東証1部,Ｈａｍｅｅ,1465
3135,東証1部,マーケットエンタープライズ,1129
3136,札幌ア,エコノス,536
3137,マザーズ,ファンデリー,617
3138,マザーズ,富士山マガジンサービス,807
3139,東証1部,ラクト・ジャパン,2832
3140,東証JQG,イデアインターナショナル,1045
3141,東証1部,ウエルシアホールディングス,3390
3143,東証2部,オーウイル,1022
3148,東証1部,クリエイトＳＤホールディングス,3345
3150,東証1部,グリムス,1881
3151,東証1部,バイタルケーエスケー・ホールディングス,701
3153,東証1部,八洲電機,961
3154,東証1部,メディアスホールディングス,942
3156,東証1部,レスターホールディングス,1813
3157,東証1部,ジューテックホールディングス,1003
3159,東証1部,丸善ＣＨＩホールディングス,394
3160,東証1部,大光,700
3161,東証2部,アゼアス,859
3166,東証1部,ＯＣＨＩホールディングス,1257
3167,東証1部,ＴＯＫＡＩホールディングス,902
3168,東証1部,黒谷,932
3169,東証1部,ミサワ,687
3172,東証1部,ティーライフ,1347
3173,東証1部,Ｃｏｍｉｎｉｘ,718
3174,東証JQS,ハピネス・アンド・ディ,948
3175,東証1部,エー・ピーホールディングス,425
3176,東証1部,三洋貿易,1222
3177,東証JQS,ありがとうサービス,1835
3178,東証1部,チムニー,1296
3179,東証1部,シュッピン,934
3180,東証1部,ビューティガレージ,3390
3181,東証JQS,買取王国,621
3182,東証1部,オイシックス・ラ・大地,3270
3183,東証1部,ウイン・パートナーズ,1001
3184,東証2部,ＩＣＤＡホールディングス,2380
3185,マザーズ,夢展望,209
3186,東証1部,ネクステージ,1640
3187,マザーズ,サンワカンパニー,336
3189,東証JQS,ＡＮＡＰ,336
3190,東証JQS,ホットマン,515
3191,東証1部,ジョイフル本田,1350
3192,東証JQS,白鳩,265
3193,東証1部,鳥貴族ホールディングス,1666
3195,マザーズ,ジェネレーションパス,510
3196,東証1部,ホットランド,1352
3197,東証1部,すかいらーくホールディングス,1618
3198,東証1部,ＳＦＰホールディングス,1289
3199,東証1部,綿半ホールディングス,1256
3201,東証1部,ニッケ,981
3202,東証1部,ダイトウボウ,103
3204,東証1部,トーア紡コーポレーション,458
3205,東証1部,ダイドーリミテッド,175
3221,東証1部,ヨシックス,1921
3222,東証1部,ユナイテッド・スーパーマーケット・ホールディングス,1109
3223,東証JQS,エスエルディー,636
3224,マザーズ,ゼネラル・オイスター,900
3228,東証1部,三栄建築設計,1949
3231,東証1部,野村不動産ホールディングス,2834
3232,東証1部,三重交通グループホールディングス,480
3236,東証JQS,プロパスト,156
3237,マザーズ,イントランス,70
3238,東証2部,セントラル総合開発,341
3241,東証2部,ウィル,358
3242,東証JQS,アーバネットコーポレーション,313
3244,東証1部,サムティ,2023
3245,東証1部,ディア・ライフ,440
3246,東証1部,コーセーアールイー,612
3248,東証2部,アールエイジ,630
3252,東証1部,日本商業開発,1729
3254,東証1部,プレサンスコーポレーション,1702
3260,名古屋セ,エスポア,582
3261,マザーズ,グランディーズ,386
3264,東証JQS,アスコット,212
3266,東証JQS,ファンドクリエーショングループ,91
3267,東証1部,フィル・カンパニー,2832
3271,東証1部,ＴＨＥグローバル社,242
3275,東証1部,ハウスコム,1181
3276,東証1部,日本管理センター,1263
3277,東証1部,サンセイランディック,872
3280,東証1部,エストラスト,676
